symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
FB,2019-08-08 00:00:00+00:00,190.16,190.34,184.05,186.62,14828916,190.16,0.0,190.34,184.05,186.62,1.0,14828916
FB,2019-08-09 00:00:00+00:00,187.85,190.98,187.12,190.0,11058811,187.85,0.0,190.98,187.12,190.0,1.0,11058811
FB,2019-08-12 00:00:00+00:00,185.37,187.59,184.46,186.85,10936283,185.37,0.0,187.59,184.46,186.85,1.0,10936283
FB,2019-08-13 00:00:00+00:00,188.45,191.38,185.37,185.52,13653319,188.45,0.0,191.38,185.37,185.52,1.0,13653319
FB,2019-08-14 00:00:00+00:00,179.71,185.99,179.31,185.8,18903716,179.71,0.0,185.99,179.31,185.8,1.0,18903716
FB,2019-08-15 00:00:00+00:00,182.59,183.2,180.03,180.95,13059640,182.59,0.0,183.2,180.03,180.95,1.0,13059640
FB,2019-08-16 00:00:00+00:00,183.7,185.1,182.36,183.75,12844832,183.7,0.0,185.1,182.36,183.75,1.0,12844832
FB,2019-08-19 00:00:00+00:00,186.17,187.5,184.85,186.01,9699661,186.17,0.0,187.5,184.85,186.01,1.0,9699661
FB,2019-08-20 00:00:00+00:00,183.81,186.0,182.39,185.45,10087592,183.81,0.0,186.0,182.39,185.45,1.0,10087592
FB,2019-08-21 00:00:00+00:00,183.55,185.9,183.14,185.0,8409548,183.55,0.0,185.9,183.14,185.0,1.0,8409548
FB,2019-08-22 00:00:00+00:00,182.04,184.11,179.91,183.43,10829509,182.04,0.0,184.11,179.91,183.43,1.0,10829509
FB,2019-08-23 00:00:00+00:00,177.75,183.13,176.66,180.84,17331221,177.75,0.0,183.13,176.66,180.84,1.0,17331221
FB,2019-08-26 00:00:00+00:00,180.36,180.5,178.24,179.4,8780477,180.36,0.0,180.5,178.24,179.4,1.0,8780477
FB,2019-08-27 00:00:00+00:00,181.3,184.04,181.01,181.93,14408946,181.3,0.0,184.04,181.01,181.93,1.0,14408946
FB,2019-08-28 00:00:00+00:00,181.76,181.95,178.92,180.53,9364533,181.76,0.0,181.95,178.92,180.53,1.0,9364533
FB,2019-08-29 00:00:00+00:00,185.57,186.0752,183.47,183.77,10135033,185.57,0.0,186.0752,183.47,183.77,1.0,10135033
FB,2019-08-30 00:00:00+00:00,185.67,186.8017,183.4585,186.78,10785722,185.67,0.0,186.8017,183.4585,186.78,1.0,10785722
FB,2019-09-03 00:00:00+00:00,182.39,185.67,182.11,184.0,9792187,182.39,0.0,185.67,182.11,184.0,1.0,9792187
FB,2019-09-04 00:00:00+00:00,187.14,187.7494,183.89,184.65,11314571,187.14,0.0,187.7494,183.89,184.65,1.0,11314571
FB,2019-09-05 00:00:00+00:00,190.9,191.36,187.94,188.53,13896621,190.9,0.0,191.36,187.94,188.53,1.0,13896621
FB,2019-09-06 00:00:00+00:00,187.49,190.21,186.35,190.21,15226820,187.49,0.0,190.21,186.35,190.21,1.0,15226820
FB,2019-09-09 00:00:00+00:00,188.76,188.98,185.8466,187.73,14722402,188.76,0.0,188.98,185.8466,187.73,1.0,14722402
FB,2019-09-10 00:00:00+00:00,186.17,188.1,184.55,187.44,15455867,186.17,0.0,188.1,184.55,187.44,1.0,15455867
FB,2019-09-11 00:00:00+00:00,188.49,189.44,186.08,186.46,11761660,188.49,0.0,189.44,186.08,186.46,1.0,11761660
FB,2019-09-12 00:00:00+00:00,187.47,190.93,187.23,189.86,11419775,187.47,0.0,190.93,187.23,189.86,1.0,11419775
FB,2019-09-13 00:00:00+00:00,187.19,187.97,186.54,187.325,11441116,187.19,0.0,187.97,186.54,187.325,1.0,11441116
FB,2019-09-16 00:00:00+00:00,186.22,187.7943,185.765,186.93,8444844,186.22,0.0,187.7943,185.765,186.93,1.0,8444844
FB,2019-09-17 00:00:00+00:00,188.08,188.32,185.54,186.66,9751570,188.08,0.0,188.32,185.54,186.66,1.0,9751570
FB,2019-09-18 00:00:00+00:00,188.14,189.08,186.012,188.09,9945798,188.14,0.0,189.08,186.012,188.09,1.0,9945798
FB,2019-09-19 00:00:00+00:00,190.14,191.1,188.15,188.66,10474685,190.14,0.0,191.1,188.15,188.66,1.0,10474685
FB,2019-09-20 00:00:00+00:00,189.93,193.1,188.12,190.66,20359878,189.93,0.0,193.1,188.12,190.66,1.0,20359878
FB,2019-09-23 00:00:00+00:00,186.82,190.1,185.2062,189.34,14370089,186.82,0.0,190.1,185.2062,189.34,1.0,14370089
FB,2019-09-24 00:00:00+00:00,181.28,188.04,180.39,187.98,18775666,181.28,0.0,188.04,180.39,187.98,1.0,18775666
FB,2019-09-25 00:00:00+00:00,182.8,183.42,177.87,181.45,18339960,182.8,0.0,183.42,177.87,181.45,1.0,18339960
FB,2019-09-26 00:00:00+00:00,180.11,181.4,177.67,181.33,16280691,180.11,0.0,181.4,177.67,181.33,1.0,16280691
FB,2019-09-27 00:00:00+00:00,177.1,180.755,175.66,178.16,14663575,177.1,0.0,180.755,175.66,178.16,1.0,14663575
FB,2019-09-30 00:00:00+00:00,178.08,178.67,176.85,177.87,11071425,178.08,0.0,178.67,176.85,177.87,1.0,11071425
